Pavarde        Vardas           Galutinis(Vid)  Galutinis(Med)
Pavarde2259    Vardas2259                 5.60            5.60
Pavarde2260    Vardas2260                 4.60            4.60
Pavarde2261    Vardas2261                 3.10            3.40
Pavarde2262    Vardas2262                 3.60            3.60
Pavarde2263    Vardas2263                 2.70            2.80
Pavarde2264    Vardas2264                 6.60            6.60
Pavarde2265    Vardas2265                 7.20            7.40
Pavarde2266    Vardas2266                 5.20            5.20
Pavarde2267    Vardas2267                 4.90            5.00
Pavarde2268    Vardas2268                 6.60            6.60
Pavarde2269    Vardas2269                 3.60            3.60
Pavarde2270    Vardas2270                 3.20            3.20
Pavarde2271    Vardas2271                 3.60            3.60
Pavarde2272    Vardas2272                 5.20            5.40
Pavarde2273    Vardas2273                 7.70            7.80
Pavarde2274    Vardas2274                 7.60            7.60
Pavarde2275    Vardas2275                 5.40            5.60
Pavarde2276    Vardas2276                 6.10            6.40
Pavarde2277    Vardas2277                 3.90            4.60
Pavarde2278    Vardas2278                 3.10            3.00
Pavarde2279    Vardas2279                 3.70            3.80
Pavarde2280    Vardas2280                 6.00            5.80
Pavarde2281    Vardas2281                 6.20            6.20
Pavarde2282    Vardas2282                 5.30            5.60
Pavarde2283    Vardas2283                 5.70            5.60
Pavarde2284    Vardas2284                 5.30            5.20
Pavarde2285    Vardas2285                 4.50            5.00
Pavarde2286    Vardas2286                 5.70            5.40
Pavarde2287    Vardas2287                 3.90            4.00
Pavarde2288    Vardas2288                 6.30            6.20
Pavarde2289    Vardas2289                 3.40            3.20
Pavarde2290    Vardas2290                 3.40            3.40
Pavarde2291    Vardas2291                 5.80            5.80
Pavarde2292    Vardas2292                 8.00            8.60
Pavarde2293    Vardas2293                 3.90            4.00
Pavarde2294    Vardas2294                 2.30            2.40
Pavarde2295    Vardas2295                 4.00            4.20
Pavarde2296    Vardas2296                 3.40            3.60
Pavarde2297    Vardas2297                 7.00            7.00
Pavarde2298    Vardas2298                 7.60            7.40
Pavarde2299    Vardas2299                 4.30            4.40
Pavarde2300    Vardas2300                 5.90            6.00
Pavarde2301    Vardas2301                 5.50            5.60
Pavarde2302    Vardas2302                 2.50            2.60
Pavarde2303    Vardas2303                 6.10            6.20
Pavarde2304    Vardas2304                 4.40            4.00
Pavarde2305    Vardas2305                 6.50            6.40
Pavarde2306    Vardas2306                 6.70            7.00
Pavarde2307    Vardas2307                 2.40            2.00
Pavarde2308    Vardas2308                 6.30            6.40
Pavarde2309    Vardas2309                 3.40            3.40
Pavarde2310    Vardas2310                 5.80            5.80
Pavarde2311    Vardas2311                 7.40            7.80
Pavarde2312    Vardas2312                 7.60            7.40
Pavarde2313    Vardas2313                 7.10            7.20
Pavarde2314    Vardas2314                 6.90            6.80
Pavarde2315    Vardas2315                 5.30            5.60
Pavarde2316    Vardas2316                 4.80            4.40
Pavarde2317    Vardas2317                 8.20            8.20
Pavarde2318    Vardas2318                 5.40            5.40
Pavarde2319    Vardas2319                 8.00            8.20
Pavarde2320    Vardas2320                 3.90            3.80
Pavarde2321    Vardas2321                 5.80            5.60
Pavarde2322    Vardas2322                 7.70            7.60
Pavarde2323    Vardas2323                 7.60            7.40
Pavarde2324    Vardas2324                 4.30            4.40
Pavarde2325    Vardas2325                 6.80            6.80
Pavarde2326    Vardas2326                 6.10            5.60
Pavarde2327    Vardas2327                 5.50            6.00
Pavarde2328    Vardas2328                 6.00            6.00
Pavarde2329    Vardas2329                 3.20            3.60
Pavarde2330    Vardas2330                 4.90            5.60
Pavarde2331    Vardas2331                 7.10            6.80
Pavarde2332    Vardas2332                 3.70            3.80
Pavarde2333    Vardas2333                 5.20            4.80
Pavarde2334    Vardas2334                 7.50            7.40
Pavarde2335    Vardas2335                 6.20            6.40
Pavarde2336    Vardas2336                 5.10            5.60
Pavarde2337    Vardas2337                 6.60            6.40
Pavarde2338    Vardas2338                 2.00            1.60
Pavarde2339    Vardas2339                 4.10            4.00
Pavarde2340    Vardas2340                 4.80            5.40
Pavarde2341    Vardas2341                 5.30            5.40
Pavarde2342    Vardas2342                 3.90            3.80
Pavarde2343    Vardas2343                 5.20            5.40
Pavarde2344    Vardas2344                 3.10            2.60
Pavarde2345    Vardas2345                 3.20            3.40
Pavarde2346    Vardas2346                 6.20            6.20
Pavarde2347    Vardas2347                 7.00            7.00
Pavarde2348    Vardas2348                 5.70            5.60
Pavarde2349    Vardas2349                 8.30            8.20
Pavarde2350    Vardas2350                 2.80            3.00
Pavarde2351    Vardas2351                 4.50            4.60
Pavarde2352    Vardas2352                 3.90            3.80
Pavarde2353    Vardas2353                 6.00            6.20
Pavarde2354    Vardas2354                 7.40            7.40
Pavarde2355    Vardas2355                 6.70            6.20
Pavarde2356    Vardas2356                 7.30            7.60
Pavarde2357    Vardas2357                 5.40            5.80
Pavarde2358    Vardas2358                 6.10            6.00
Pavarde2359    Vardas2359                 7.50            7.00
Pavarde2360    Vardas2360                 5.90            6.20
Pavarde2361    Vardas2361                 7.00            7.20
Pavarde2362    Vardas2362                 8.30            8.40
Pavarde2363    Vardas2363                 3.80            3.80
Pavarde2364    Vardas2364                 3.60            3.40
Pavarde2365    Vardas2365                 6.10            6.40
Pavarde2366    Vardas2366                 5.00            5.00
Pavarde2367    Vardas2367                 2.80            2.60
Pavarde2368    Vardas2368                 2.70            2.40
Pavarde2369    Vardas2369                 8.10            8.20
Pavarde2370    Vardas2370                 7.60            7.60
Pavarde2371    Vardas2371                 3.10            3.20
Pavarde2372    Vardas2372                 4.90            4.80
Pavarde2373    Vardas2373                 6.70            6.20
Pavarde2374    Vardas2374                 2.40            2.20
Pavarde2375    Vardas2375                 4.40            4.20
Pavarde2376    Vardas2376                 4.40            4.40
Pavarde2377    Vardas2377                 8.20            7.80
Pavarde2378    Vardas2378                 8.80            9.00
Pavarde2379    Vardas2379                 5.90            5.60
Pavarde2380    Vardas2380                 3.70            4.00
